Net 	 StatProb  	 Tc
w0[7] 0.5 400.000000
u0/rcon[23] 0.5 400.000000
u0/rcon[22] 0.5 400.000000
u0/rcon[21] 0.5 400.000000
u0/rcon[20] 0.5 400.000000
u0/rcon[19] 0.5 400.000000
u0/rcon[18] 0.5 400.000000
u0/rcon[17] 0.5 400.000000
u0/rcon[16] 0.5 400.000000
u0/rcon[15] 0.5 400.000000
u0/rcon[14] 0.5 400.000000
u0/rcon[13] 0.5 400.000000
u0/rcon[12] 0.5 400.000000
u0/rcon[11] 0.5 400.000000
u0/rcon[10] 0.5 400.000000
u0/rcon[9] 0.5 400.000000
u0/rcon[8] 0.5 400.000000
u0/rcon[7] 0.5 400.000000
u0/rcon[6] 0.5 400.000000
u0/rcon[5] 0.5 400.000000
u0/rcon[4] 0.5 400.000000
u0/rcon[3] 0.5 400.000000
u0/rcon[2] 0.5 400.000000
u0/rcon[1] 0.5 400.000000
u0/rcon[0] 0.5 400.000000
text_in[127] 0.5 200.000000
text_in[126] 0.5 200.000000
text_in[125] 0.5 200.000000
text_in[124] 0.5 200.000000
text_in[123] 0.5 200.000000
text_in[122] 0.5 200.000000
text_in[121] 0.5 200.000000
text_in[120] 0.5 200.000000
text_in[119] 0.5 200.000000
text_in[118] 0.5 200.000000
text_in[117] 0.5 200.000000
text_in[116] 0.5 200.000000
text_in[115] 0.5 200.000000
text_in[114] 0.5 200.000000
text_in[113] 0.5 200.000000
text_in[112] 0.5 200.000000
text_in[111] 0.5 200.000000
text_in[110] 0.5 200.000000
text_in[109] 0.5 200.000000
text_in[108] 0.5 200.000000
text_in[107] 0.5 200.000000
text_in[106] 0.5 200.000000
text_in[105] 0.5 200.000000
text_in[104] 0.5 200.000000
text_in[103] 0.5 200.000000
text_in[102] 0.5 200.000000
text_in[101] 0.5 200.000000
text_in[100] 0.5 200.000000
text_in[99] 0.5 200.000000
text_in[98] 0.5 200.000000
text_in[97] 0.5 200.000000
text_in[96] 0.5 200.000000
text_in[95] 0.5 200.000000
text_in[94] 0.5 200.000000
text_in[93] 0.5 200.000000
text_in[92] 0.5 200.000000
text_in[91] 0.5 200.000000
text_in[90] 0.5 200.000000
text_in[89] 0.5 200.000000
text_in[88] 0.5 200.000000
text_in[87] 0.5 200.000000
text_in[86] 0.5 200.000000
text_in[85] 0.5 200.000000
text_in[84] 0.5 200.000000
text_in[83] 0.5 200.000000
text_in[82] 0.5 200.000000
text_in[81] 0.5 200.000000
text_in[80] 0.5 200.000000
text_in[79] 0.5 200.000000
text_in[78] 0.5 200.000000
text_in[77] 0.5 200.000000
text_in[76] 0.5 200.000000
text_in[75] 0.5 200.000000
text_in[74] 0.5 200.000000
text_in[73] 0.5 200.000000
text_in[72] 0.5 200.000000
text_in[71] 0.5 200.000000
text_in[70] 0.5 200.000000
text_in[69] 0.5 200.000000
text_in[68] 0.5 200.000000
text_in[67] 0.5 200.000000
text_in[66] 0.5 200.000000
text_in[65] 0.5 200.000000
text_in[64] 0.5 200.000000
text_in[63] 0.5 200.000000
text_in[62] 0.5 200.000000
text_in[61] 0.5 200.000000
text_in[60] 0.5 200.000000
text_in[59] 0.5 200.000000
text_in[58] 0.5 200.000000
text_in[57] 0.5 200.000000
text_in[56] 0.5 200.000000
text_in[55] 0.5 200.000000
text_in[54] 0.5 200.000000
text_in[53] 0.5 200.000000
text_in[52] 0.5 200.000000
text_in[51] 0.5 200.000000
text_in[50] 0.5 200.000000
text_in[49] 0.5 200.000000
text_in[48] 0.5 200.000000
text_in[47] 0.5 200.000000
text_in[46] 0.5 200.000000
text_in[45] 0.5 200.000000
text_in[44] 0.5 200.000000
text_in[43] 0.5 200.000000
text_in[42] 0.5 200.000000
text_in[41] 0.5 200.000000
text_in[40] 0.5 200.000000
text_in[39] 0.5 200.000000
text_in[38] 0.5 200.000000
text_in[37] 0.5 200.000000
text_in[36] 0.5 200.000000
text_in[35] 0.5 200.000000
text_in[34] 0.5 200.000000
text_in[33] 0.5 200.000000
text_in[32] 0.5 200.000000
text_in[31] 0.5 200.000000
text_in[30] 0.5 200.000000
text_in[29] 0.5 200.000000
text_in[28] 0.5 200.000000
text_in[27] 0.5 200.000000
text_in[26] 0.5 200.000000
text_in[25] 0.5 200.000000
text_in[24] 0.5 200.000000
text_in[23] 0.5 200.000000
text_in[22] 0.5 200.000000
text_in[21] 0.5 200.000000
text_in[20] 0.5 200.000000
text_in[19] 0.5 200.000000
text_in[18] 0.5 200.000000
text_in[17] 0.5 200.000000
text_in[16] 0.5 200.000000
text_in[15] 0.5 200.000000
text_in[14] 0.5 200.000000
text_in[13] 0.5 200.000000
text_in[12] 0.5 200.000000
text_in[11] 0.5 200.000000
text_in[10] 0.5 200.000000
text_in[9] 0.5 200.000000
text_in[8] 0.5 200.000000
text_in[7] 0.5 200.000000
text_in[6] 0.5 200.000000
text_in[5] 0.5 200.000000
text_in[4] 0.5 200.000000
text_in[3] 0.5 200.000000
text_in[2] 0.5 200.000000
text_in[1] 0.5 200.000000
text_in[0] 0.5 200.000000
clk 0.5 4000.000000
rst 0.5 200.000000
ld 0.5 200.000000
done 0.000407 1.627604
key[127] 0.5 200.000000
key[126] 0.5 200.000000
key[125] 0.5 200.000000
