Path specified: /test/u0/
Net 		Stat_Prob	TC	TotSimPeriod
n1914 	 0.436 		 252 	 5000  
n1915 	 0.855 		 88 	 5000  
n1916 	 0.895 		 36 	 5000  
n1917 	 0.006 		 4 	 5000  
n1918 	 0.359 		 238 	 5000  
n1919 	 0.008 		 8 	 5000  
n1920 	 0.706 		 183 	 5000  
n1921 	 0.915 		 31 	 5000  
n1922 	 0.024 		 24 	 5000  
n1923 	 0.026 		 26 	 5000  
n1924 	 0.941 		 8 	 5000  
n1925 	 0.933 		 16 	 5000  
n1926 	 0.0 		 0 	 5000  
n1927 	 0.002 		 2 	 5000  
n1928 	 0.014 		 14 	 5000  
n1929 	 0.004 		 4 	 5000  
n1930 	 0.901 		 46 	 5000  
n1931 	 0.857 		 89 	 5000  
n1932 	 0.887 		 48 	 5000  
n1933 	 0.895 		 54 	 5000  
n1934 	 0.887 		 62 	 5000  
n1935 	 0.903 		 44 	 5000  
n1936 	 0.002 		 2 	 5000  
n1937 	 0.004 		 4 	 5000  
n1938 	 0.949 		 0 	 5000  
n1939 	 0.929 		 20 	 5000  
n1940 	 0.907 		 40 	 5000  
n1941 	 0.865 		 84 	 5000  
n1942 	 0.883 		 52 	 5000  
n1943 	 0.124 		 112 	 5000  
n1944 	 0.214 		 162 	 5000  
n1945 	 0.02 		 18 	 5000  
n1946 	 0.897 		 50 	 5000  
n1947 	 0.947 		 2 	 5000  
n1948 	 0.002 		 2 	 5000  
n1949 	 0.909 		 34 	 5000  
n1950 	 0.088 		 88 	 5000  
n1951 	 0.896 		 53 	 5000  
n1952 	 0.863 		 86 	 5000  
n1953 	 0.426 		 171 	 5000  
n1954 	 0.032 		 28 	 5000  
n1955 	 0.03 		 28 	 5000  
n1956 	 0.633 		 171 	 5000  
n1957 	 0.901 		 48 	 5000  
n1958 	 0.044 		 44 	 5000  
n1959 	 0.042 		 42 	 5000  
n1960 	 0.214 		 150 	 5000  
n1961 	 0.05 		 50 	 5000  
n1962 	 0.052 		 49 	 5000  
n1963 	 0.851 		 86 	 5000  
n1964 	 0.923 		 24 	 5000  
n1965 	 0.921 		 26 	 5000  
n1966 	 0.08 		 78 	 5000  
n1967 	 0.006 		 6 	 5000  
n1968 	 0.911 		 36 	 5000  
n1969 	 0.885 		 58 	 5000  
n1970 	 0.0 		 0 	 5000  
n1971 	 0.004 		 4 	 5000  
n1972 	 0.929 		 16 	 5000  
n1973 	 0.941 		 8 	 5000  
n1974 	 0.102 		 96 	 5000  
n1975 	 0.166 		 138 	 5000  
n1976 	 0.473 		 230 	 5000  
n1977 	 0.743 		 162 	 5000  
n1978 	 0.905 		 44 	 5000  
n1979 	 0.006 		 6 	 5000  
n1980 	 0.22 		 152 	 5000  
n1981 	 0.883 		 64 	 5000  
n1982 	 0.893 		 50 	 5000  
n1983 	 0.733 		 150 	 5000  
n1984 	 0.024 		 24 	 5000  
n1985 	 0.016 		 16 	 5000  
n1986 	 0.801 		 122 	 5000  
n1987 	 0.923 		 26 	 5000  
n1988 	 0.02 		 20 	 5000  
n1989 	 0.909 		 36 	 5000  
n1990 	 0.845 		 86 	 5000  
n1991 	 0.893 		 56 	 5000  
n1992 	 0.028 		 24 	 5000  
n1993 	 0.064 		 64 	 5000  
n1994 	 0.022 		 18 	 5000  
n1995 	 0.813 		 127 	 5000  
n1996 	 0.869 		 68 	 5000  
n1997 	 0.937 		 12 	 5000  
n1998 	 0.008 		 8 	 5000  
n1999 	 0.002 		 2 	 5000  
n2000 	 0.002 		 2 	 5000  
n2001 	 0.006 		 6 	 5000  
n2002 	 0.0 		 0 	 5000  
n2003 	 0.935 		 14 	 5000  
n2004 	 0.945 		 4 	 5000  
n2005 	 0.947 		 2 	 5000  
n2006 	 0.002 		 2 	 5000  
n2007 	 0.0 		 0 	 5000  
n2008 	 0.135 		 127 	 5000  
n2009 	 0.927 		 22 	 5000  
n2010 	 0.929 		 20 	 5000  
n2011 	 0.0 		 0 	 5000  
n2012 	 0.002 		 2 	 5000  
n2013 	 0.883 		 66 	 5000  
n2014 	 0.905 		 40 	 5000  
n2015 	 0.132 		 119 	 5000  
n2016 	 0.871 		 74 	 5000  
n2017 	 0.885 		 60 	 5000  
n2018 	 0.01 		 10 	 5000  
n2019 	 0.054 		 40 	 5000  
n2020 	 0.494 		 233 	 5000  
n2021 	 0.893 		 48 	 5000  
n2022 	 0.917 		 30 	 5000  
n2023 	 0.006 		 6 	 5000  
n2024 	 0.361 		 207 	 5000  
n2025 	 0.046 		 44 	 5000  
n2026 	 0.931 		 18 	 5000  
n2027 	 0.915 		 32 	 5000  
n2028 	 0.937 		 12 	 5000  
n2029 	 0.018 		 16 	 5000  
n2030 	 0.179 		 163 	 5000  
n2031 	 0.054 		 52 	 5000  
n2032 	 0.945 		 4 	 5000  
n2033 	 0.89 		 59 	 5000  
n2034 	 0.008 		 8 	 5000  
n2035 	 0.026 		 26 	 5000  
n2036 	 0.945 		 4 	 5000  
n2037 	 0.925 		 24 	 5000  
n2038 	 0.945 		 4 	 5000  
n2039 	 0.949 		 0 	 5000  
n2040 	 0.016 		 16 	 5000  
n2041 	 0.004 		 4 	 5000  
n2042 	 0.006 		 6 	 5000  
n2043 	 0.016 		 16 	 5000  
n2044 	 0.947 		 2 	 5000  
n2045 	 0.947 		 2 	 5000  
n2046 	 0.0 		 0 	 5000  
n2047 	 0.949 		 0 	 5000  
n2048 	 0.943 		 6 	 5000  
n2049 	 0.096 		 80 	 5000  
n2050 	 0.941 		 8 	 5000  
n2051 	 0.949 		 0 	 5000  
n2052 	 0.002 		 2 	 5000  
n2053 	 0.002 		 2 	 5000  
n2054 	 0.03 		 28 	 5000  
n2055 	 0.002 		 2 	 5000  
n2056 	 0.002 		 2 	 5000  
n2057 	 0.939 		 8 	 5000  
n2058 	 0.861 		 80 	 5000  
n2059 	 0.843 		 82 	 5000  
n2060 	 0.094 		 86 	 5000  
n2061 	 0.018 		 18 	 5000  
n2062 	 0.006 		 6 	 5000  
n2063 	 0.931 		 18 	 5000  
n2064 	 0.937 		 12 	 5000  
n2065 	 0.008 		 8 	 5000  
n2066 	 0.004 		 4 	 5000  
n2067 	 0.0 		 0 	 5000  
n2068 	 0.004 		 4 	 5000  
n2069 	 0.886 		 61 	 5000  
n2070 	 0.0 		 0 	 5000  
n2071 	 0.004 		 4 	 5000  
n2072 	 0.949 		 0 	 5000  
n2073 	 0.947 		 2 	 5000  
n2074 	 0.024 		 24 	 5000  
n2075 	 0.927 		 22 	 5000  
n2076 	 0.004 		 4 	 5000  
n2077 	 0.877 		 70 	 5000  
n2078 	 0.042 		 36 	 5000  
n2079 	 0.907 		 40 	 5000  
n2080 	 0.459 		 210 	 5000  
n2081 	 0.436 		 214 	 5000  
n2082 	 0.026 		 26 	 5000  
n2083 	 0.028 		 28 	 5000  
n2084 	 0.889 		 58 	 5000  
n2085 	 0.925 		 24 	 5000  
n2086 	 0.931 		 18 	 5000  
n2087 	 0.0 		 0 	 5000  
n2088 	 0.044 		 40 	 5000  
n2089 	 0.675 		 136 	 5000  
n2090 	 0.885 		 58 	 5000  
n2091 	 0.937 		 12 	 5000  
n2092 	 0.947 		 2 	 5000  
n2093 	 0.941 		 6 	 5000  
n2094 	 0.006 		 6 	 5000  
n2095 	 0.945 		 4 	 5000  
n2096 	 0.0 		 0 	 5000  
n2097 	 0.002 		 2 	 5000  
n2098 	 0.0 		 0 	 5000  
n2099 	 0.943 		 6 	 5000  
n2100 	 0.02 		 20 	 5000  
n2101 	 0.0 		 0 	 5000  
n2102 	 0.927 		 22 	 5000  
n2103 	 0.018 		 18 	 5000  
n2104 	 0.933 		 16 	 5000  
n2105 	 0.002 		 2 	 5000  
n2106 	 0.002 		 2 	 5000  
n2107 	 0.016 		 16 	 5000  
n2108 	 0.044 		 30 	 5000  
n2109 	 0.943 		 6 	 5000  
n2110 	 0.0 		 0 	 5000  
n2111 	 0.002 		 2 	 5000  
n2112 	 0.004 		 4 	 5000  
n2113 	 0.887 		 62 	 5000  
n2114 	 0.925 		 24 	 5000  
n2115 	 0.905 		 42 	 5000  
n2116 	 0.532 		 185 	 5000  
n2117 	 0.026 		 24 	 5000  
n2118 	 0.024 		 24 	 5000  
n2119 	 0.923 		 24 	 5000  
n2120 	 0.493 		 203 	 5000  
n2121 	 0.066 		 64 	 5000  
n2122 	 0.018 		 18 	 5000  
n2123 	 0.028 		 27 	 5000  
n2124 	 0.949 		 0 	 5000  
n2125 	 0.943 		 6 	 5000  
n2126 	 0.004 		 4 	 5000  
n2127 	 0.016 		 15 	 5000  
n2128 	 0.945 		 4 	 5000  
n2129 	 0.947 		 2 	 5000  
n2130 	 0.008 		 8 	 5000  
n2131 	 0.006 		 6 	 5000  
n2132 	 0.945 		 4 	 5000  
n2133 	 0.949 		 0 	 5000  
n2134 	 0.058 		 58 	 5000  
n2135 	 0.943 		 6 	 5000  
n2136 	 0.929 		 20 	 5000  
n2137 	 0.01 		 10 	 5000  
n2138 	 0.02 		 20 	 5000  
n2139 	 0.0 		 0 	 5000  
n2140 	 0.0 		 0 	 5000  
n2141 	 0.933 		 16 	 5000  
n2142 	 0.945 		 4 	 5000  
n2143 	 0.006 		 6 	 5000  
n2144 	 0.949 		 0 	 5000  
n2145 	 0.947 		 2 	 5000  
n2146 	 0.109 		 95 	 5000  
n2147 	 0.002 		 2 	 5000  
n2148 	 0.757 		 152 	 5000  
n2149 	 0.893 		 30 	 5000  
n2150 	 0.02 		 20 	 5000  
n2151 	 0.006 		 6 	 5000  
n2152 	 0.006 		 6 	 5000  
n2153 	 0.949 		 0 	 5000  
n2154 	 0.949 		 0 	 5000  
n2155 	 0.139 		 129 	 5000  
n2156 	 0.042 		 16 	 5000  
n2157 	 0.945 		 4 	 5000  
n2158 	 0.086 		 80 	 5000  
n2159 	 0.008 		 8 	 5000  
n2160 	 0.008 		 8 	 5000  
n2161 	 0.933 		 16 	 5000  
n2162 	 0.931 		 18 	 5000  
n2163 	 0.933 		 16 	 5000  
n2164 	 0.947 		 2 	 5000  
n2165 	 0.0 		 0 	 5000  
n2166 	 0.0 		 0 	 5000  
n2167 	 0.903 		 46 	 5000  
n2168 	 0.947 		 2 	 5000  
n2169 	 0.002 		 2 	 5000  
n2170 	 0.004 		 4 	 5000  
n2171 	 0.0 		 0 	 5000  
n2172 	 0.869 		 78 	 5000  
n2173 	 0.006 		 6 	 5000  
n2174 	 0.022 		 22 	 5000  
n2175 	 0.925 		 24 	 5000  
n2176 	 0.937 		 12 	 5000  
n2177 	 0.947 		 2 	 5000  
n2178 	 0.006 		 6 	 5000  
n2179 	 0.002 		 2 	 5000  
n2180 	 0.945 		 4 	 5000  
n2181 	 0.016 		 16 	 5000  
n2182 	 0.004 		 4 	 5000  
n2183 	 0.004 		 4 	 5000  
n2184 	 0.002 		 2 	 5000  
n2185 	 0.0 		 0 	 5000  
n2186 	 0.897 		 51 	 5000  
n2187 	 0.923 		 26 	 5000  
n2188 	 0.937 		 12 	 5000  
n2189 	 0.032 		 32 	 5000  
n2190 	 0.008 		 8 	 5000  
n2191 	 0.02 		 20 	 5000  
n2192 	 0.945 		 4 	 5000  
n2193 	 0.941 		 8 	 5000  
n2194 	 0.004 		 4 	 5000  
n2195 	 0.945 		 4 	 5000  
n2196 	 0.947 		 2 	 5000  
n2197 	 0.002 		 2 	 5000  
n2198 	 0.004 		 4 	 5000  
n2199 	 0.931 		 18 	 5000  
n2200 	 0.909 		 36 	 5000  
n2201 	 0.0 		 0 	 5000  
n2202 	 0.232 		 180 	 5000  
n2203 	 0.016 		 14 	 5000  
n2204 	 0.939 		 10 	 5000  
n2205 	 0.004 		 4 	 5000  
n2206 	 0.947 		 2 	 5000  
n2207 	 0.016 		 16 	 5000  
n2208 	 0.0 		 0 	 5000  
n2209 	 0.024 		 24 	 5000  
n2210 	 0.925 		 24 	 5000  
n2211 	 0.931 		 18 	 5000  
n2212 	 0.943 		 6 	 5000  
n2213 	 0.477 		 220 	 5000  
n2214 	 0.036 		 36 	 5000  
n2215 	 0.008 		 8 	 5000  
n2216 	 0.825 		 83 	 5000  
n2217 	 0.64 		 229 	 5000  
n2218 	 0.006 		 6 	 5000  
n2219 	 0.927 		 22 	 5000  
n2220 	 0.937 		 12 	 5000  
n2221 	 0.929 		 20 	 5000  
n2222 	 0.008 		 8 	 5000  
n2223 	 0.02 		 20 	 5000  
n2224 	 0.014 		 14 	 5000  
n2225 	 0.762 		 175 	 5000  
n2226 	 0.921 		 28 	 5000  
n2227 	 0.923 		 26 	 5000  
n2228 	 0.949 		 0 	 5000  
n2229 	 0.937 		 10 	 5000  
n2230 	 0.939 		 10 	 5000  
n2231 	 0.01 		 10 	 5000  
n2232 	 0.01 		 10 	 5000  
n2233 	 0.126 		 104 	 5000  
n2234 	 0.006 		 6 	 5000  
n2235 	 0.933 		 16 	 5000  
n2236 	 0.942 		 7 	 5000  
n2237 	 0.016 		 16 	 5000  
n2238 	 0.02 		 20 	 5000  
n2239 	 0.942 		 7 	 5000  
n2240 	 0.947 		 2 	 5000  
n2241 	 0.913 		 36 	 5000  
n2242 	 0.022 		 22 	 5000  
n2243 	 0.026 		 26 	 5000  
n2244 	 0.943 		 6 	 5000  
n2245 	 0.332 		 184 	 5000  
n2246 	 0.212 		 168 	 5000  
n2247 	 0.293 		 242 	 5000  
n2248 	 0.2 		 162 	 5000  
n2249 	 0.024 		 24 	 5000  
n2250 	 0.008 		 6 	 5000  
n2251 	 0.941 		 8 	 5000  
n2252 	 0.943 		 6 	 5000  
n2253 	 0.262 		 191 	 5000  
n2254 	 0.226 		 178 	 5000  
n2255 	 0.277 		 213 	 5000  
n2256 	 0.941 		 8 	 5000  
n2257 	 0.004 		 4 	 5000  
n2258 	 0.164 		 130 	 5000  
n2259 	 0.272 		 178 	 5000  
n2260 	 0.178 		 134 	 5000  
n2261 	 0.249 		 197 	 5000  
n2262 	 0.945 		 4 	 5000  
n2263 	 0.929 		 19 	 5000  
n2264 	 0.012 		 10 	 5000  
n2265 	 0.943 		 6 	 5000  
n2266 	 0.198 		 156 	 5000  
n2267 	 0.227 		 192 	 5000  
n2268 	 0.206 		 150 	 5000  
n2269 	 0.258 		 175 	 5000  
n2270 	 0.242 		 184 	 5000  
n2271 	 0.923 		 26 	 5000  
n2272 	 0.488 		 184 	 5000  
n2273 	 0.028 		 28 	 5000  
n2274 	 0.036 		 32 	 5000  
n2275 	 0.569 		 194 	 5000  
n2276 	 0.905 		 44 	 5000  
n2277 	 0.096 		 86 	 5000  
n2278 	 0.044 		 44 	 5000  
n2279 	 0.042 		 42 	 5000  
n2280 	 0.24 		 194 	 5000  
n2281 	 0.044 		 42 	 5000  
n2282 	 0.096 		 94 	 5000  
n2283 	 0.144 		 112 	 5000  
n2284 	 0.132 		 112 	 5000  
n2285 	 0.827 		 110 	 5000  
n2286 	 0.016 		 16 	 5000  
n2287 	 0.002 		 2 	 5000  
n2288 	 0.941 		 8 	 5000  
n2289 	 0.947 		 2 	 5000  
n2290 	 0.891 		 54 	 5000  
n2291 	 0.895 		 54 	 5000  
n2292 	 0.867 		 78 	 5000  
n2293 	 0.539 		 223 	 5000  
n2294 	 0.859 		 84 	 5000  
n2295 	 0.931 		 18 	 5000  
n2296 	 0.02 		 20 	 5000  
n2297 	 0.282 		 183 	 5000  
n2298 	 0.01 		 10 	 5000  
n2299 	 0.759 		 136 	 5000  
n2300 	 0.911 		 35 	 5000  
n2301 	 0.01 		 10 	 5000  
n2302 	 0.01 		 10 	 5000  
n2303 	 0.931 		 18 	 5000  
n2304 	 0.943 		 6 	 5000  
n2305 	 0.002 		 2 	 5000  
n2306 	 0.0 		 0 	 5000  
n2307 	 0.004 		 4 	 5000  
n2308 	 0.004 		 4 	 5000  
n2309 	 0.903 		 46 	 5000  
n2310 	 0.893 		 53 	 5000  
n2311 	 0.905 		 42 	 5000  
n2312 	 0.903 		 46 	 5000  
n2313 	 0.873 		 74 	 5000  
n2314 	 0.881 		 68 	 5000  
n2315 	 0.0 		 0 	 5000  
n2316 	 0.0 		 0 	 5000  
n2317 	 0.945 		 4 	 5000  
n2318 	 0.943 		 6 	 5000  
n2319 	 0.877 		 66 	 5000  
n2320 	 0.901 		 48 	 5000  
n2321 	 0.877 		 64 	 5000  
n2322 	 0.132 		 118 	 5000  
n2323 	 0.114 		 104 	 5000  
n2324 	 0.008 		 8 	 5000  
n2325 	 0.911 		 38 	 5000  
n2326 	 0.947 		 2 	 5000  
n2327 	 0.0 		 0 	 5000  
n2328 	 0.865 		 78 	 5000  
n2329 	 0.08 		 78 	 5000  
n2330 	 0.895 		 52 	 5000  
n2331 	 0.871 		 78 	 5000  
n2332 	 0.421 		 188 	 5000  
n2333 	 0.03 		 30 	 5000  
n2334 	 0.014 		 14 	 5000  
n2335 	 0.626 		 162 	 5000  
n2336 	 0.895 		 44 	 5000  
n2337 	 0.05 		 42 	 5000  
n2338 	 0.034 		 26 	 5000  
n2339 	 0.205 		 137 	 5000  
n2340 	 0.038 		 32 	 5000  
n2341 	 0.08 		 65 	 5000  
n2342 	 0.857 		 90 	 5000  
n2343 	 0.887 		 60 	 5000  
n2344 	 0.941 		 8 	 5000  
n2345 	 0.108 		 98 	 5000  
n2346 	 0.002 		 2 	 5000  
n2347 	 0.895 		 50 	 5000  
n2348 	 0.909 		 34 	 5000  
n2349 	 0.004 		 4 	 5000  
n2350 	 0.0 		 0 	 5000  
n2351 	 0.943 		 6 	 5000  
n2352 	 0.929 		 20 	 5000  
n2353 	 0.126 		 116 	 5000  
n2354 	 0.126 		 120 	 5000  
n2355 	 0.452 		 155 	 5000  
n2356 	 0.741 		 150 	 5000  
n2357 	 0.919 		 30 	 5000  
n2358 	 0.028 		 28 	 5000  
n2359 	 0.231 		 151 	 5000  
n2360 	 0.891 		 58 	 5000  
n2361 	 0.871 		 78 	 5000  
n2362 	 0.74 		 143 	 5000  
n2363 	 0.024 		 24 	 5000  
n2364 	 0.008 		 6 	 5000  
n2365 	 0.794 		 141 	 5000  
n2366 	 0.931 		 18 	 5000  
n2367 	 0.014 		 14 	 5000  
n2368 	 0.899 		 50 	 5000  
n2369 	 0.899 		 48 	 5000  
n2370 	 0.913 		 34 	 5000  
n2371 	 0.044 		 38 	 5000  
n2372 	 0.075 		 71 	 5000  
n2373 	 0.042 		 40 	 5000  
n2374 	 0.849 		 93 	 5000  
n2375 	 0.823 		 114 	 5000  
n2376 	 0.947 		 2 	 5000  
n2377 	 0.0 		 0 	 5000  
n2378 	 0.0 		 0 	 5000  
n2379 	 0.002 		 2 	 5000  
n2380 	 0.002 		 2 	 5000  
n2381 	 0.0 		 0 	 5000  
n2382 	 0.949 		 0 	 5000  
n2383 	 0.927 		 22 	 5000  
n2384 	 0.949 		 0 	 5000  
n2385 	 0.016 		 16 	 5000  
n2386 	 0.006 		 6 	 5000  
n2387 	 0.114 		 102 	 5000  
n2388 	 0.941 		 8 	 5000  
n2389 	 0.941 		 8 	 5000  
n2390 	 0.002 		 2 	 5000  
n2391 	 0.012 		 12 	 5000  
n2392 	 0.884 		 63 	 5000  
n2393 	 0.871 		 76 	 5000  
n2394 	 0.106 		 97 	 5000  
n2395 	 0.889 		 60 	 5000  
n2396 	 0.869 		 58 	 5000  
n2397 	 0.014 		 14 	 5000  
n2398 	 0.054 		 52 	 5000  
n2399 	 0.474 		 219 	 5000  
n2400 	 0.893 		 46 	 5000  
n2401 	 0.915 		 32 	 5000  
n2402 	 0.024 		 24 	 5000  
n2403 	 0.361 		 233 	 5000  
n2404 	 0.057 		 57 	 5000  
n2405 	 0.931 		 18 	 5000  
n2406 	 0.925 		 24 	 5000  
n2407 	 0.947 		 2 	 5000  
n2408 	 0.028 		 28 	 5000  
n2409 	 0.136 		 108 	 5000  
n2410 	 0.022 		 22 	 5000  
n2411 	 0.941 		 8 	 5000  
n2412 	 0.885 		 60 	 5000  
n2413 	 0.022 		 22 	 5000  
n2414 	 0.01 		 10 	 5000  
n2415 	 0.943 		 6 	 5000  
n2416 	 0.945 		 4 	 5000  
n2417 	 0.947 		 2 	 5000  
n2418 	 0.947 		 2 	 5000  
n2419 	 0.0 		 0 	 5000  
n2420 	 0.0 		 0 	 5000  
n2421 	 0.002 		 2 	 5000  
n2422 	 0.0 		 0 	 5000  
n2423 	 0.947 		 2 	 5000  
n2424 	 0.943 		 6 	 5000  
n2425 	 0.002 		 2 	 5000  
n2426 	 0.949 		 0 	 5000  
n2427 	 0.945 		 4 	 5000  
n2428 	 0.126 		 110 	 5000  
n2429 	 0.949 		 0 	 5000  
n2430 	 0.949 		 0 	 5000  
n2431 	 0.0 		 0 	 5000  
n2432 	 0.002 		 2 	 5000  
n2433 	 0.02 		 20 	 5000  
n2434 	 0.004 		 4 	 5000  
n2435 	 0.0 		 0 	 5000  
n2436 	 0.937 		 12 	 5000  
n2437 	 0.853 		 92 	 5000  
n2438 	 0.827 		 112 	 5000  
n2439 	 0.13 		 116 	 5000  
n2440 	 0.04 		 40 	 5000  
n2441 	 0.012 		 10 	 5000  
n2442 	 0.921 		 28 	 5000  
n2443 	 0.933 		 16 	 5000  
n2444 	 0.016 		 16 	 5000  
n2445 	 0.0 		 0 	 5000  
n2446 	 0.0 		 0 	 5000  
n2447 	 0.02 		 20 	 5000  
n2448 	 0.885 		 60 	 5000  
n2449 	 0.002 		 2 	 5000  
n2450 	 0.002 		 2 	 5000  
n2451 	 0.947 		 2 	 5000  
n2452 	 0.943 		 4 	 5000  
n2453 	 0.022 		 22 	 5000  
n2454 	 0.937 		 12 	 5000  
n2455 	 0.004 		 4 	 5000  
n2456 	 0.899 		 48 	 5000  
n2457 	 0.052 		 46 	 5000  
n2458 	 0.897 		 48 	 5000  
n2459 	 0.484 		 187 	 5000  
n2460 	 0.443 		 209 	 5000  
n2461 	 0.016 		 16 	 5000  
n2462 	 0.006 		 4 	 5000  
n2463 	 0.905 		 44 	 5000  
n2464 	 0.945 		 2 	 5000  
n2465 	 0.939 		 10 	 5000  
n2466 	 0.002 		 2 	 5000  
n2467 	 0.07 		 68 	 5000  
n2468 	 0.708 		 123 	 5000  
n2469 	 0.871 		 66 	 5000  
n2470 	 0.947 		 2 	 5000  
n2471 	 0.939 		 10 	 5000  
n2472 	 0.919 		 30 	 5000  
n2473 	 0.016 		 16 	 5000  
n2474 	 0.935 		 14 	 5000  
n2475 	 0.004 		 4 	 5000  
n2476 	 0.002 		 2 	 5000  
n2477 	 0.004 		 4 	 5000  
n2478 	 0.949 		 0 	 5000  
n2479 	 0.006 		 6 	 5000  
n2480 	 0.004 		 4 	 5000  
n2481 	 0.927 		 20 	 5000  
n2482 	 0.012 		 12 	 5000  
n2483 	 0.945 		 4 	 5000  
n2484 	 0.004 		 4 	 5000  
n2485 	 0.0 		 0 	 5000  
n2486 	 0.002 		 2 	 5000  
n2487 	 0.028 		 28 	 5000  
n2488 	 0.925 		 22 	 5000  
n2489 	 0.002 		 2 	 5000  
n2490 	 0.014 		 14 	 5000  
n2491 	 0.008 		 6 	 5000  
n2492 	 0.915 		 34 	 5000  
n2493 	 0.923 		 26 	 5000  
n2494 	 0.905 		 44 	 5000  
n2495 	 0.487 		 198 	 5000  
n2496 	 0.008 		 8 	 5000  
n2497 	 0.026 		 24 	 5000  
n2498 	 0.939 		 10 	 5000  
n2499 	 0.506 		 196 	 5000  
n2500 	 0.042 		 36 	 5000  
n2501 	 0.05 		 50 	 5000  
n2502 	 0.024 		 23 	 5000  
n2503 	 0.945 		 4 	 5000  
n2504 	 0.947 		 2 	 5000  
n2505 	 0.002 		 2 	 5000  
n2506 	 0.016 		 15 	 5000  
n2507 	 0.947 		 2 	 5000  
n2508 	 0.945 		 4 	 5000  
n2509 	 0.018 		 18 	 5000  
n2510 	 0.002 		 2 	 5000  
n2511 	 0.935 		 14 	 5000  
n2512 	 0.933 		 16 	 5000  
n2513 	 0.038 		 36 	 5000  
n2514 	 0.941 		 8 	 5000  
n2515 	 0.945 		 4 	 5000  
n2516 	 0.002 		 2 	 5000  
n2517 	 0.022 		 22 	 5000  
n2518 	 0.0 		 0 	 5000  
n2519 	 0.014 		 14 	 5000  
n2520 	 0.945 		 4 	 5000  
n2521 	 0.945 		 4 	 5000  
n2522 	 0.0 		 0 	 5000  
n2523 	 0.947 		 2 	 5000  
n2524 	 0.949 		 0 	 5000  
n2525 	 0.132 		 108 	 5000  
n2526 	 0.006 		 6 	 5000  
n2527 	 0.776 		 133 	 5000  
n2528 	 0.911 		 38 	 5000  
n2529 	 0.022 		 20 	 5000  
n2530 	 0.008 		 8 	 5000  
n2531 	 0.002 		 2 	 5000  
n2532 	 0.949 		 0 	 5000  
n2533 	 0.945 		 4 	 5000  
n2534 	 0.16 		 136 	 5000  
n2535 	 0.008 		 8 	 5000  
n2536 	 0.945 		 4 	 5000  
n2537 	 0.106 		 102 	 5000  
n2538 	 0.004 		 4 	 5000  
n2539 	 0.022 		 22 	 5000  
n2540 	 0.945 		 4 	 5000  
n2541 	 0.941 		 8 	 5000  
n2542 	 0.945 		 4 	 5000  
n2543 	 0.945 		 4 	 5000  
n2544 	 0.0 		 0 	 5000  
n2545 	 0.0 		 0 	 5000  
n2546 	 0.84 		 93 	 5000  
n2547 	 0.945 		 4 	 5000  
n2548 	 0.0 		 0 	 5000  
n2549 	 0.004 		 4 	 5000  
n2550 	 0.0 		 0 	 5000  
n2551 	 0.893 		 56 	 5000  
n2552 	 0.004 		 4 	 5000  
n2553 	 0.03 		 28 	 5000  
n2554 	 0.924 		 25 	 5000  
n2555 	 0.933 		 16 	 5000  
n2556 	 0.949 		 0 	 5000  
n2557 	 0.008 		 8 	 5000  
n2558 	 0.006 		 6 	 5000  
n2559 	 0.939 		 10 	 5000  
n2560 	 0.0 		 0 	 5000  
n2561 	 0.015 		 15 	 5000  
n2562 	 0.014 		 14 	 5000  
n2563 	 0.0 		 0 	 5000  
n2564 	 0.002 		 2 	 5000  
n2565 	 0.885 		 61 	 5000  
n2566 	 0.937 		 12 	 5000  
n2567 	 0.935 		 14 	 5000  
n2568 	 0.012 		 12 	 5000  
n2569 	 0.022 		 22 	 5000  
n2570 	 0.004 		 4 	 5000  
n2571 	 0.947 		 2 	 5000  
n2572 	 0.943 		 6 	 5000  
n2573 	 0.0 		 0 	 5000  
n2574 	 0.945 		 4 	 5000  
n2575 	 0.943 		 6 	 5000  
n2576 	 0.002 		 2 	 5000  
n2577 	 0.002 		 2 	 5000  
n2578 	 0.929 		 20 	 5000  
n2579 	 0.893 		 50 	 5000  
n2580 	 0.002 		 2 	 5000  
n2581 	 0.216 		 164 	 5000  
n2582 	 0.046 		 42 	 5000  
n2583 	 0.909 		 38 	 5000  
n2584 	 0.006 		 4 	 5000  
n2585 	 0.947 		 2 	 5000  
n2586 	 0.014 		 14 	 5000  
n2587 	 0.004 		 4 	 5000  
n2588 	 0.008 		 8 	 5000  
n2589 	 0.945 		 4 	 5000  
n2590 	 0.947 		 2 	 5000  
n2591 	 0.945 		 4 	 5000  
n2592 	 0.465 		 250 	 5000  
n2593 	 0.016 		 16 	 5000  
n2594 	 0.016 		 16 	 5000  
n2595 	 0.784 		 158 	 5000  
n2596 	 0.681 		 196 	 5000  
n2597 	 0.006 		 6 	 5000  
n2598 	 0.943 		 6 	 5000  
n2599 	 0.947 		 2 	 5000  
n2600 	 0.935 		 14 	 5000  
n2601 	 0.006 		 6 	 5000  
n2602 	 0.008 		 6 	 5000  
n2603 	 0.018 		 16 	 5000  
n2604 	 0.755 		 172 	 5000  
n2605 	 0.929 		 18 	 5000  
n2606 	 0.935 		 14 	 5000  
n2607 	 0.945 		 4 	 5000  
n2608 	 0.927 		 22 	 5000  
n2609 	 0.935 		 12 	 5000  
n2610 	 0.004 		 4 	 5000  
n2611 	 0.012 		 12 	 5000  
